user49,L17,U2a,4,"Since many infections have become resistant to antibiotics, researchers are looking into uses phages as a way to kill bacteria.  Dr. Moore, a molecular epidemiologist supports this research, since the technique has been used successfully in Eastern Europe for many years.  Dr. Wilson, a physicist and non-expert in the field, also supports the research, since using phages would limit creation of antibiotic resistance.",1
user50,L17,U2a,4,"Since many infections have been resisting antobotics, research has proposed something else to treat infections. Dr. Moore, who is an expert in the field agrees on the new treatment or medicision. Another person who is not an expert agrees too for his own reason. ",2
user51,L17,U2a,4,"Since many infections have been resisting antibiotics (mistyped in the original) scientists have uncovered some new thing that can fight them. Dr. Moore, an expert, believes it is good and some other nonexpert agrees for his own reasons.",3
user52,M18,U2a,4,Phage therapy is a new way to kill bacteria that are resistant to antibiotics. Some experts say it is more effective and will not have resistance form because there are so many possible combinations.,1
user53,M18,U2a,4,Phage is a new therapy that will kill antibiotics. ,2
user54,M18,U2a,4,Phage is a new therapy that will kill antibiotics.,3
user55,M19,U2a,4,"since antibiotics have grown so much resistance, studies are being done to replace it with phage therapy. dr moore, a scientist in phage therapy thinks that this will help with resistance. dr wilson, who is not a specialist in phage therapy thinks this will help since there are so many combonations.",1
user56,M19,U2a,4,"since antibiotics have grown so much resistance, studies are being done to replace it wil phage therapy. dr. moore, a scientist in phage therapy thinks this will help with resistance. dr. someone, who is not a scientist in phage therapy, thinks that it will help because there are so many combonations",2
user57,M19,U2a,4,"antibiotics have developed a lot of resistance over time, hence studies are being done to replace them with phage therapy. one doctor believes that this will be helpful to combat different organisms. another doctor, not a phage therapy specialist, thinks it will be good because there are so many possible combinations.",3
user60,L20,U2a,4,"People believe that the strength of viruses have become too strong for antibiotics. Dr. White who is an expert in this field supports phage research, and others who are not experts also support it as well",3
user58,L20,U2a,4,"Since antibiotics have become used in medicinal practice, some fear that the strength of viruses become too strong for the vaccines. Dr. Moore, an epidemiologist and expert on phage research supports the use of phage research. Dr. White, who is not an expert in phage adaptation, also supports its use. ",1
user59,L20,U2a,4,"People people believe that the strength of viruses have become too strong for antibiotics. Dr. White, a medical expert, believes that phage research is a positive thing and supports it while another person, who is not an expert in the field, also supports phage research.",2
user49,L17,U1a,3,"Research is being done on thorium, an element that could replace uranium in the world of nuclear power.  There are no neutrons available for fission, unlike with uranium.  A researcher who studies thorium says that it is much safer to use than uranium.  Dr. Williams, a biology teacher who is not an expert in the field of nuclear energy, also supports the transition to thorium because it is cheaper than uranium.",1
user50,L17,U1a,3,"Research has been done on thorium, which is a better necular power than nutrium. (I know I spelled the two names wrong) Dr. Williams, who is a biologist, also agrees that thorium is better. ",2
user51,L17,U1a,3,"Thorium, a type of nuclear power source, has undergone research and has been declared better than nutrium. The author acknowledges that they have spelled both of the names wrong. Dr. Williams, a biologist, agrees with the conclusion that the research has reached.
",3
user52,M18,U1a,3,There is a new element called thorium that could replace Uranium. Experts say it is safer and cheaper,1
